id,id2,state,districtNumber,districtName,party,district_url,representative,representative_photo_url,total_awards
5001500US3702,3702,North Carolina,2,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/North_Carolina%27s_2nd_congressional_district,George Holding,https://upload.wikimedia.org/wikipedia/commons/a/ad/George_Holding_%28cropped%29.jpg,27855502.279999997
5001500US3703,3703,North Carolina,3,ta-ordinal-rd-m,republican,https://en.wikipedia.org/wiki/North_Carolina%27s_3rd_congressional_district,Walter B. Jones Jr.,https://upload.wikimedia.org/wikipedia/commons/b/b8/Walter_Jones%2C_official_portrait%2C_111th_Congress.jpg,19908
5001500US3704,3704,North Carolina,4,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/North_Carolina%27s_4th_congressional_district,David Price,https://upload.wikimedia.org/wikipedia/commons/2/2b/David_Price%2C_115th_Congress_official_photo_%28cropped%29.jpg,22855755.660000015
5001500US3705,3705,North Carolina,5,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/North_Carolina%27s_5th_congressional_district,Virginia Foxx,https://upload.wikimedia.org/wikipedia/commons/9/9c/Virginia_Foxx_official_photo_%28cropped%29.jpg,0
5001500US3706,3706,North Carolina,6,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/North_Carolina%27s_6th_congressional_district,Mark Walker,https://upload.wikimedia.org/wikipedia/commons/7/76/Walker_Official_Photo_2017_%28cropped%29.jpg,16946964.85
5001500US3707,3707,North Carolina,7,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/North_Carolina%27s_7th_congressional_district,David Rouzer,https://upload.wikimedia.org/wikipedia/commons/f/f0/David_Rouzer_official_photo_%28cropped%29.jpg,3500
5001500US3708,3708,North Carolina,8,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/North_Carolina%27s_8th_congressional_district,Richard Hudson,https://upload.wikimedia.org/wikipedia/commons/7/73/Richard_Hudson_official_photo_%28cropped%29.jpg,106998.94
5001500US3709,3709,North Carolina,9,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/North_Carolina%27s_9th_congressional_district,Robert Pittenger,https://upload.wikimedia.org/wikipedia/commons/4/49/Robert_Pittenger%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,2141.81
5001500US3710,3710,North Carolina,10,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/North_Carolina%27s_10th_congressional_district,Patrick McHenry,https://upload.wikimedia.org/wikipedia/commons/3/34/Patrick_McHenry_115th_Congress_photo_%28cropped_2%29.jpg,0
5001500US3711,3711,North Carolina,11,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/North_Carolina%27s_11th_congressional_district,Mark Meadows,https://upload.wikimedia.org/wikipedia/commons/3/3a/Mark_Meadows%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,4335
5001500US3712,3712,North Carolina,12,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/North_Carolina%27s_12th_congressional_district,Alma Adams,https://upload.wikimedia.org/wikipedia/commons/5/50/Alma_Adams_official_portrait_%28cropped%29.jpg,7957.5
5001500US3713,3713,North Carolina,13,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/North_Carolina%27s_13th_congressional_district,Ted Budd,https://upload.wikimedia.org/wikipedia/commons/b/bb/Ted_Budd_official_congressional_photo_%28cropped%29.jpg,45573.77999999999
