story,lowercase,count
01: The Girl Who Raised Pigeons,gently,2
01: The Girl Who Raised Pigeons,georgetown,1
01: The Girl Who Raised Pigeons,get,14
01: The Girl Who Raised Pigeons,gettin,2
01: The Girl Who Raised Pigeons,getting,3
01: The Girl Who Raised Pigeons,ghosties,1
01: The Girl Who Raised Pigeons,gingerbread,1
01: The Girl Who Raised Pigeons,girl,22
01: The Girl Who Raised Pigeons,girls,5
01: The Girl Who Raised Pigeons,give,5
01: The Girl Who Raised Pigeons,given,4
01: The Girl Who Raised Pigeons,giving,1
01: The Girl Who Raised Pigeons,glad,1
01: The Girl Who Raised Pigeons,glass,1
01: The Girl Who Raised Pigeons,glasses,1
01: The Girl Who Raised Pigeons,go,20
01: The Girl Who Raised Pigeons,god,3
01: The Girl Who Raised Pigeons,going,11
01: The Girl Who Raised Pigeons,gon,9
01: The Girl Who Raised Pigeons,gone,7
01: The Girl Who Raised Pigeons,good,9
01: The Girl Who Raised Pigeons,gordon,1
01: The Girl Who Raised Pigeons,got,16
01: The Girl Who Raised Pigeons,gotdamn,3
01: The Girl Who Raised Pigeons,grab,2
01: The Girl Who Raised Pigeons,gradually,1
01: The Girl Who Raised Pigeons,grain,1
01: The Girl Who Raised Pigeons,grandfather,1
01: The Girl Who Raised Pigeons,grass,1
01: The Girl Who Raised Pigeons,grassy,1
01: The Girl Who Raised Pigeons,grave,1
01: The Girl Who Raised Pigeons,gray,2
01: The Girl Who Raised Pigeons,green,1
01: The Girl Who Raised Pigeons,greenley,1
01: The Girl Who Raised Pigeons,greeting,1
01: The Girl Who Raised Pigeons,grew,2
01: The Girl Who Raised Pigeons,grfiit,1
01: The Girl Who Raised Pigeons,grocery,1
01: The Girl Who Raised Pigeons,ground,4
01: The Girl Who Raised Pigeons,group,1
01: The Girl Who Raised Pigeons,growing,1
01: The Girl Who Raised Pigeons,grownup,2
01: The Girl Who Raised Pigeons,grownups,2
01: The Girl Who Raised Pigeons,growth,1
01: The Girl Who Raised Pigeons,guess,1
01: The Girl Who Raised Pigeons,gum,1
01: The Girl Who Raised Pigeons,h,1
01: The Girl Who Raised Pigeons,hahn,1
01: The Girl Who Raised Pigeons,hair,2
